iter	Passed	Remaining
0	20	20049
1	38	19375
2	57	19051
3	74	18550
4	90	18084
5	108	17938
6	125	17844
7	143	17743
8	159	17575
9	175	17389
10	192	17343
11	209	17260
12	226	17193
13	244	17248
14	263	17309
15	281	17281
16	302	17464
17	322	17599
18	339	17539
19	355	17425
20	373	17394
21	389	17329
22	407	17290
23	423	17231
24	441	17204
25	460	17260
26	479	17290
27	497	17259
28	514	17233
29	532	17220
30	550	17199
31	568	17208
32	586	17186
33	602	17125
34	620	17101
35	636	17051
36	654	17046
37	672	17028
38	689	16990
39	707	16991
40	724	16956
41	742	16929
42	758	16890
43	775	16858
44	792	16809
45	808	16760
46	824	16718
47	840	16679
48	857	16648
49	876	16653
50	895	16659
51	911	16617
52	927	16576
53	944	16539
54	961	16515
55	977	16481
56	993	16438
57	1010	16407
58	1026	16367
59	1042	16330
60	1059	16305
61	1077	16302
62	1095	16288
63	1113	16280
64	1130	16265
65	1147	16237
66	1163	16200
67	1180	16176
68	1196	16146
69	1213	16116
70	1229	16085
71	1246	16068
72	1264	16055
73	1283	16057
74	1300	16041
75	1317	16015
76	1333	15989
77	1350	15962
78	1367	15942
79	1384	15916
80	1401	15895
81	1418	15877
82	1435	15857
83	1451	15829
84	1468	15802
85	1484	15781
86	1501	15757
87	1520	15757
88	1539	15759
89	1556	15739
90	1573	15717
91	1591	15703
92	1606	15671
93	1623	15647
94	1639	15619
95	1657	15607
96	1674	15592
97	1693	15582
98	1712	15584
99	1731	15580
100	1747	15558
101	1765	15542
102	1783	15534
103	1802	15526
104	1820	15517
105	1836	15490
106	1852	15463
107	1870	15448
108	1888	15439
109	1905	15418
110	1922	15395
111	1941	15391
112	1957	15365
113	1974	15343
114	1990	15321
115	2006	15291
116	2022	15262
117	2038	15235
118	2054	15206
119	2070	15183
120	2086	15158
121	2103	15135
122	2119	15110
123	2137	15099
124	2156	15093
125	2174	15086
126	2192	15068
127	2209	15051
128	2227	15041
129	2246	15032
130	2263	15017
131	2280	14998
132	2296	14972
133	2314	14955
134	2330	14930
135	2347	14913
136	2363	14890
137	2380	14867
138	2397	14853
139	2414	14832
140	2432	14821
141	2449	14797
142	2465	14776
143	2482	14757
144	2500	14742
145	2516	14718
146	2536	14716
147	2555	14710
148	2572	14692
149	2589	14671
150	2605	14647
151	2620	14620
152	2636	14597
153	2653	14574
154	2669	14551
155	2685	14531
156	2704	14520
157	2720	14498
158	2737	14478
159	2756	14469
160	2773	14455
161	2792	14443
162	2808	14423
163	2825	14404
164	2841	14380
165	2857	14356
166	2875	14341
167	2891	14320
168	2909	14304
169	2926	14289
170	2942	14266
171	2958	14239
172	2974	14218
173	2991	14201
174	3008	14183
175	3025	14164
176	3042	14144
177	3058	14122
178	3074	14101
179	3091	14085
180	3110	14074
181	3126	14053
182	3143	14034
183	3162	14026
184	3181	14016
185	3200	14005
186	3218	13993
187	3237	13982
188	3258	13980
189	3278	13976
190	3296	13963
191	3315	13954
192	3334	13944
193	3351	13925
194	3368	13904
195	3384	13884
196	3400	13861
197	3417	13842
198	3435	13826
199	3452	13809
200	3469	13790
201	3485	13768
202	3502	13751
203	3521	13740
204	3540	13731
205	3559	13720
206	3578	13708
207	3598	13702
208	3615	13685
209	3634	13672
210	3652	13656
211	3669	13639
212	3687	13622
213	3703	13602
214	3720	13582
215	3735	13559
216	3753	13542
217	3769	13520
218	3786	13502
219	3801	13479
220	3817	13456
221	3833	13433
222	3851	13420
223	3868	13402
224	3886	13385
225	3903	13367
226	3920	13349
227	3936	13330
228	3955	13315
229	3973	13302
230	3992	13289
231	4009	13273
232	4026	13254
233	4042	13232
234	4059	13213
235	4076	13196
236	4094	13180
237	4110	13160
238	4128	13146
239	4144	13125
240	4160	13104
241	4177	13085
242	4193	13065
243	4212	13052
244	4231	13039
245	4250	13027
246	4270	13019
247	4288	13003
248	4307	12991
249	4325	12977
250	4342	12958
251	4359	12939
252	4375	12919
253	4392	12899
254	4409	12881
255	4425	12862
256	4442	12844
257	4459	12824
258	4476	12807
259	4496	12796
260	4512	12777
261	4528	12756
262	4545	12738
263	4562	12718
264	4578	12698
265	4593	12676
266	4611	12659
267	4629	12645
268	4647	12630
269	4666	12616
270	4686	12605
271	4707	12598
272	4725	12582
273	4742	12565
274	4759	12546
275	4774	12525
276	4790	12505
277	4808	12487
278	4824	12468
279	4841	12450
280	4858	12432
281	4875	12412
282	4891	12393
283	4908	12376
284	4927	12361
285	4943	12340
286	4959	12319
287	4975	12299
288	4991	12280
289	5008	12261
290	5025	12243
291	5041	12224
292	5058	12206
293	5076	12190
294	5095	12176
295	5111	12156
296	5128	12138
297	5146	12122
298	5162	12103
299	5178	12083
300	5194	12062
301	5210	12041
302	5226	12022
303	5242	12002
304	5259	11983
305	5275	11965
306	5292	11947
307	5309	11928
308	5325	11910
309	5343	11892
310	5361	11878
311	5377	11857
312	5394	11841
313	5411	11823
314	5427	11802
315	5444	11785
316	5461	11766
317	5477	11748
318	5494	11729
319	5511	11710
320	5527	11691
321	5543	11672
322	5560	11654
323	5577	11636
324	5593	11617
325	5609	11597
326	5627	11581
327	5643	11561
328	5659	11543
329	5677	11526
330	5693	11507
331	5709	11487
332	5725	11467
333	5741	11448
334	5757	11429
335	5775	11413
336	5792	11395
337	5808	11376
338	5825	11359
339	5843	11342
340	5859	11323
341	5877	11307
342	5893	11289
343	5909	11270
344	5927	11253
345	5944	11235
346	5960	11216
347	5977	11198
348	5998	11188
349	6017	11175
350	6037	11163
351	6054	11145
352	6072	11129
353	6088	11111
354	6105	11093
355	6122	11074
356	6138	11056
357	6155	11038
358	6171	11019
359	6189	11003
360	6207	10988
361	6224	10970
362	6242	10954
363	6259	10936
364	6276	10919
365	6293	10901
366	6309	10882
367	6325	10863
368	6342	10845
369	6359	10827
370	6375	10809
371	6392	10791
372	6410	10775
373	6429	10761
374	6447	10745
375	6464	10729
376	6484	10715
377	6504	10703
378	6524	10690
379	6541	10673
380	6558	10655
381	6575	10637
382	6592	10619
383	6607	10600
384	6624	10582
385	6641	10563
386	6657	10545
387	6676	10530
388	6694	10514
389	6711	10497
390	6728	10480
391	6745	10461
392	6760	10442
393	6778	10425
394	6794	10407
395	6811	10389
396	6829	10373
397	6847	10357
398	6864	10339
399	6880	10321
400	6897	10302
401	6913	10284
402	6930	10266
403	6947	10248
404	6963	10230
405	6981	10214
406	6999	10198
407	7015	10179
408	7030	10159
409	7047	10140
410	7065	10124
411	7081	10106
412	7098	10089
413	7114	10070
414	7130	10051
415	7146	10033
416	7168	10021
417	7188	10008
418	7205	9990
419	7222	9973
420	7238	9955
421	7255	9936
422	7272	9920
423	7290	9904
424	7307	9886
425	7323	9868
426	7340	9850
427	7358	9834
428	7375	9817
429	7392	9799
430	7409	9781
431	7427	9766
432	7448	9753
433	7468	9739
434	7487	9724
435	7507	9711
436	7526	9696
437	7545	9681
438	7564	9666
439	7580	9648
440	7597	9630
441	7614	9612
442	7629	9593
443	7645	9574
444	7662	9556
445	7678	9537
446	7695	9520
447	7712	9503
448	7730	9486
449	7746	9468
450	7764	9451
451	7780	9433
452	7798	9416
453	7818	9402
454	7835	9385
455	7854	9370
456	7874	9356
457	7893	9341
458	7912	9326
459	7932	9311
460	7948	9293
461	7965	9275
462	7983	9259
463	8001	9242
464	8019	9226
465	8035	9207
466	8052	9190
467	8069	9173
468	8087	9156
469	8103	9138
470	8121	9121
471	8138	9104
472	8159	9090
473	8175	9072
474	8193	9056
475	8210	9037
476	8227	9020
477	8244	9003
478	8264	8989
479	8285	8975
480	8305	8962
481	8325	8947
482	8344	8932
483	8363	8916
484	8380	8899
485	8396	8880
486	8413	8862
487	8431	8845
488	8448	8828
489	8464	8809
490	8480	8791
491	8498	8774
492	8515	8757
493	8533	8741
494	8551	8724
495	8570	8708
496	8587	8691
497	8604	8673
498	8620	8655
499	8637	8637
500	8654	8620
501	8672	8603
502	8690	8586
503	8706	8568
504	8723	8550
505	8740	8532
506	8755	8514
507	8772	8496
508	8789	8478
509	8807	8461
510	8824	8444
511	8840	8426
512	8857	8408
513	8873	8390
514	8890	8372
515	8907	8354
516	8923	8336
517	8940	8319
518	8957	8301
519	8974	8283
520	8991	8266
521	9010	8250
522	9027	8233
523	9044	8215
524	9062	8199
525	9078	8181
526	9095	8163
527	9112	8145
528	9128	8128
529	9145	8110
530	9163	8093
531	9181	8076
532	9198	8059
533	9216	8042
534	9233	8025
535	9251	8008
536	9267	7990
537	9284	7973
538	9301	7955
539	9318	7938
540	9334	7919
541	9350	7901
542	9367	7883
543	9383	7865
544	9399	7846
545	9415	7829
546	9432	7811
547	9448	7793
548	9466	7776
549	9482	7758
550	9498	7739
551	9516	7723
552	9531	7704
553	9548	7686
554	9565	7669
555	9581	7651
556	9598	7634
557	9616	7617
558	9633	7599
559	9650	7582
560	9666	7564
561	9682	7546
562	9699	7528
563	9716	7511
564	9733	7493
565	9748	7475
566	9765	7457
567	9782	7440
568	9800	7423
569	9817	7406
570	9833	7388
571	9851	7371
572	9869	7354
573	9886	7337
574	9902	7319
575	9919	7301
576	9935	7283
577	9952	7266
578	9968	7248
579	9985	7230
580	10003	7214
581	10020	7197
582	10038	7179
583	10054	7161
584	10070	7144
585	10087	7126
586	10104	7108
587	10120	7091
588	10138	7074
589	10155	7057
590	10172	7039
591	10188	7022
592	10204	7003
593	10221	6986
594	10238	6968
595	10254	6951
596	10271	6933
597	10287	6915
598	10304	6898
599	10321	6881
600	10338	6863
601	10354	6845
602	10370	6827
603	10388	6810
604	10405	6793
605	10421	6775
606	10437	6758
607	10454	6740
608	10470	6722
609	10486	6704
610	10503	6687
611	10520	6669
612	10537	6652
613	10553	6634
614	10570	6617
615	10585	6599
616	10601	6581
617	10618	6563
618	10633	6545
619	10650	6527
620	10666	6509
621	10683	6492
622	10700	6475
623	10717	6457
624	10734	6440
625	10750	6422
626	10768	6406
627	10785	6389
628	10803	6372
629	10819	6354
630	10836	6336
631	10852	6319
632	10869	6302
633	10886	6284
634	10901	6266
635	10919	6249
636	10937	6232
637	10954	6215
638	10969	6197
639	10985	6179
640	11002	6162
641	11020	6145
642	11037	6128
643	11053	6110
644	11071	6093
645	11087	6076
646	11104	6058
647	11121	6041
648	11139	6024
649	11158	6008
650	11175	5991
651	11192	5973
652	11209	5956
653	11225	5938
654	11241	5921
655	11258	5904
656	11276	5886
657	11293	5869
658	11310	5852
659	11326	5834
660	11343	5817
661	11360	5800
662	11379	5784
663	11395	5766
664	11412	5749
665	11428	5731
666	11445	5714
667	11462	5696
668	11480	5680
669	11495	5662
670	11512	5644
671	11528	5626
672	11545	5609
673	11560	5591
674	11579	5575
675	11596	5557
676	11612	5540
677	11628	5522
678	11645	5505
679	11663	5488
680	11680	5471
681	11697	5454
682	11714	5436
683	11731	5419
684	11747	5402
685	11763	5384
686	11780	5367
687	11798	5350
688	11816	5333
689	11832	5315
690	11849	5298
691	11866	5281
692	11882	5263
693	11899	5246
694	11918	5230
695	11934	5212
696	11950	5195
697	11967	5177
698	11984	5160
699	12002	5143
700	12019	5126
701	12036	5109
702	12053	5092
703	12070	5074
704	12086	5057
705	12102	5039
706	12118	5022
707	12135	5004
